Guest_ID,Stay_Duration_Days,Daily_Spend_ADR,Total_Spend
G2446,6,112.78,676.69
G2900,6,125.92,755.51
G1472,5,127.84,639.19
G2642,5,109.4,547.02
G5966,1,330.7,330.7
G1718,6,126.84,761.06
G3909,1,345.93,345.93
G1080,6,111.94,671.66
G5375,1,313.36,313.36
G3481,2,338.76,677.52
G0738,6,113.41,680.44
G4203,2,337.34,674.67
G0303,6,117.17,703.0
G0239,5,116.85,584.24
G3387,1,318.06,318.06
G4381,2,365.24,730.47
G0945,7,110.88,776.14
G2169,5,107.34,536.69
G0800,6,104.84,629.05
G2569,6,117.73,706.39
G2869,6,108.47,650.79
G2930,6,119.03,714.2
G0290,5,112.12,560.6
G4649,1,324.56,324.56
G5617,1,324.76,324.76
G5608,3,333.39,1000.16
G2170,6,103.72,622.32
G1902,5,104.82,524.11
G0124,4,111.42,445.68
G0421,8,108.93,871.41
G5413,1,336.03,336.03
G0770,7,109.47,766.3
G0247,5,119.41,597.07
G4657,2,351.51,703.02
G5587,3,320.91,962.73
G0604,7,115.01,805.05
G0486,4,109.85,439.39
G4299,1,346.3,346.3
G3879,1,313.36,313.36
G3918,3,321.92,965.75
G1669,6,106.44,638.63
G2970,6,109.08,654.47
G4666,2,329.88,659.77
G1433,6,117.27,703.6
G5650,1,344.79,344.79
G1203,6,105.14,630.87
G4370,1,356.47,356.47
G3611,2,331.92,663.84
G3187,2,304.36,608.72
G1626,7,127.62,893.31
G5962,1,330.56,330.56
G1048,4,143.15,572.59
G1637,5,120.23,601.16
G1713,3,119.1,357.29
G4893,1,329.55,329.55
G5395,1,317.48,317.48
G5714,1,334.4,334.4
G0591,6,125.68,754.1
G4865,1,329.25,329.25
G5640,1,339.13,339.13
G2342,6,119.28,715.67
G0984,5,103.77,518.83
G3856,3,338.88,1016.63
G4436,2,332.69,665.38
G1794,6,117.64,705.86
G5298,2,322.95,645.91
G1504,5,119.13,595.65
G2019,6,116.55,699.32
G3783,2,313.35,626.71
G2220,5,103.01,515.05
G3845,3,323.54,970.61
G0032,7,108.42,758.92
G3194,2,335.2,670.4
G3599,1,338.55,338.55
G5688,2,288.0,576.0
G0238,6,102.45,614.7
G4063,1,343.28,343.28
G0244,6,125.59,753.52
G0902,5,113.7,568.5
G5532,1,335.94,335.94
G2317,6,99.9,599.4
G0818,6,113.76,682.58
G2717,6,119.5,717.03
G1654,5,121.23,606.17
G2515,5,126.96,634.78
G0184,6,111.69,670.15
G0677,4,115.73,462.93
G2594,6,118.83,712.96
G4042,1,326.75,326.75
G4749,2,301.58,603.16
G0013,6,102.13,612.77
G2808,5,111.39,556.95
G5606,2,313.83,627.67
G5089,2,285.8,571.59
G3556,1,360.13,360.13
G4836,1,326.47,326.47
G3844,1,311.23,311.23
G3940,1,301.33,301.33
G1100,6,115.72,694.34
G1445,6,95.63,573.79
G1082,5,108.02,540.09
G0987,7,120.53,843.72
G1816,5,112.52,562.61
G5627,1,318.92,318.92
G2553,7,113.27,792.92
G3271,1,352.43,352.43
G1778,5,127.02,635.12
G4576,1,336.5,336.5
G0502,7,108.73,761.09
G1389,6,116.46,698.75
G2404,5,115.91,579.55
G5412,2,299.6,599.2
G2046,7,125.71,879.98
G4288,2,330.14,660.28
G0675,4,114.35,457.41
G3930,1,338.22,338.22
G5418,2,322.33,644.66
G3751,2,322.73,645.46
G5597,1,305.45,305.45
G2165,7,122.95,860.62
G0637,6,111.61,669.65
G0979,4,120.68,482.72
G0343,6,104.74,628.42
G0318,5,105.18,525.88
G5096,3,339.25,1017.75
G0540,5,113.4,566.98
G4428,1,322.47,322.47
G0641,5,110.03,550.15
G0234,5,134.11,670.57
G2138,7,122.29,856.03
G4741,2,344.58,689.16
G0022,5,110.37,551.84
G0954,7,120.71,844.94
G0342,6,112.57,675.44
G1457,6,103.43,620.57
G1149,7,109.85,768.97
G5338,1,319.13,319.13
G2855,7,101.18,708.29
G4502,2,350.01,700.02
G2838,7,129.44,906.11
G3024,1,343.22,343.22
G1651,6,112.51,675.08
G3779,2,342.55,685.11
G5499,1,326.38,326.38
G1278,6,105.33,632.0
G3558,2,341.01,682.02
G2465,6,95.33,571.96
G4582,2,372.02,744.04
G3541,2,334.93,669.86
G2821,5,115.34,576.69
G0367,6,109.74,658.45
G0695,6,123.72,742.33
G2080,5,129.78,648.9
G5605,2,321.84,643.67
G3522,1,359.74,359.74
G5556,2,337.63,675.26
G3928,1,326.48,326.48
G0296,5,104.25,521.23
G0304,6,104.74,628.45
G1334,7,116.99,818.96
G4079,2,335.38,670.77
G3871,2,330.88,661.76
G2974,7,93.46,654.24
G3835,2,362.48,724.97
G0444,5,130.89,654.43
G4314,1,342.16,342.16
G2074,6,99.45,596.68
G4868,2,318.08,636.16
G0862,4,107.11,428.43
G1561,5,104.3,521.49
G5438,2,349.14,698.29
G2334,5,126.93,634.67
G5157,2,323.96,647.91
G1434,5,109.38,546.92
G2604,4,124.7,498.81
G3078,1,312.68,312.68
G4400,2,301.95,603.91
G1736,4,124.58,498.31
G1957,3,113.04,339.13
G1610,5,106.61,533.06
G3759,3,328.1,984.3
G5779,2,324.79,649.57
G2343,6,97.98,587.89
G4026,2,352.17,704.33
G1735,6,117.91,707.46
G2993,6,105.02,630.1
G1695,6,113.09,678.55
G5971,1,333.94,333.94
G5113,1,330.49,330.49
G2809,6,142.03,852.18
G0808,5,95.31,476.57
G0399,5,137.71,688.57
G0391,5,99.23,496.15
G3476,2,330.47,660.95
G0001,6,95.92,575.53
G3874,1,350.86,350.86
G0513,5,132.12,660.6
G3378,2,348.33,696.65
G0131,4,114.11,456.43
G0700,5,112.77,563.86
G1712,5,120.93,604.63
G2576,4,95.43,381.71
G0538,5,106.88,534.38
G3019,1,327.08,327.08
G5594,2,349.44,698.88
G4513,2,328.57,657.15
G0654,4,106.74,426.97
G4221,2,349.74,699.49
G3027,2,323.45,646.9
G3304,2,303.47,606.95
G2384,5,131.85,659.23
G4041,2,331.85,663.71
G5506,1,331.87,331.87
G5675,1,299.08,299.08
G0508,5,114.39,571.95
G0446,6,103.59,621.54
G0891,6,121.93,731.57
G1302,6,101.34,608.06
G2377,5,140.72,703.6
G2603,5,112.86,564.31
G5318,2,336.09,672.18
G2875,5,127.71,638.55
G5823,2,340.84,681.69
G3790,2,320.99,641.97
G1422,7,104.14,728.98
G4788,1,328.79,328.79
G0933,4,123.88,495.5
G0963,6,115.49,692.96
G3645,1,326.75,326.75
G1737,4,107.09,428.36
G0395,7,134.73,943.08
G0231,5,110.82,554.1
G5473,1,312.56,312.56
G5333,2,337.61,675.23
G1054,6,116.95,701.69
G3708,2,344.89,689.78
G5385,2,326.95,653.9
G3904,1,329.38,329.38
G1002,6,114.69,688.13
G0480,7,128.86,902.04
G4750,2,327.6,655.2
G1879,4,108.19,432.74
G4235,1,307.65,307.65
G2372,5,103.74,518.72
G4004,1,331.66,331.66
G3960,2,336.39,672.78
G2908,4,90.0,360.0
G4207,2,352.74,705.48
G2975,6,119.47,716.82
G4364,1,311.36,311.36
G1950,5,119.35,596.73
G2171,6,118.1,708.59
G4988,1,327.32,327.32
G4800,1,348.34,348.34
G1901,6,111.08,666.49
G4655,2,317.24,634.48
G3920,1,331.43,331.43
G2302,5,111.87,559.37
G2176,8,133.01,1064.11
G0883,5,96.56,482.81
G1096,5,104.68,523.4
G2340,5,122.71,613.54
G3432,1,317.55,317.55
G2131,6,119.36,716.16
G3809,1,298.92,298.92
G1756,7,117.95,825.65
G1795,6,113.5,680.99
G2354,4,126.62,506.49
G4309,1,327.68,327.68
G1726,7,90.0,630.0
G5651,1,352.37,352.37
G4955,2,319.94,639.88
G4331,3,318.38,955.13
G5694,1,322.96,322.96
G4592,2,324.44,648.87
G0278,5,116.34,581.71
G5316,2,317.0,634.01
G2068,5,131.08,655.38
G3962,2,318.24,636.47
G0344,5,127.3,636.5
G1216,7,120.58,844.08
G3604,2,324.31,648.61
G1799,7,94.5,661.47
G0029,5,109.9,549.51
G0294,6,118.38,710.28
G0207,6,107.27,643.64
G2172,5,102.26,511.32
G2678,4,128.45,513.81
G5769,2,330.11,660.22
G0300,6,126.37,758.24
G1568,6,102.71,616.25
G3813,1,335.78,335.78
G5075,1,320.17,320.17
G2297,6,115.8,694.77
G3926,1,322.19,322.19
G0414,7,106.68,746.76
G1091,5,104.01,520.07
G2212,6,104.21,625.29
G4094,2,315.29,630.58
G4361,1,331.31,331.31
G2049,5,126.22,631.09
G2761,6,115.29,691.77
G2470,5,116.25,581.24
G3383,1,311.11,311.11
G0674,5,123.2,616.01
G4599,2,334.32,668.64
G2961,5,106.87,534.37
G5266,1,350.49,350.49
G3044,1,302.62,302.62
G1486,6,99.05,594.31
G1611,5,115.68,578.39
G0190,4,133.3,533.18
G5263,1,329.28,329.28
G2108,6,115.46,692.76
G1961,5,111.81,559.06
G1822,6,113.16,678.97
G1181,6,117.78,706.7
G5272,2,322.51,645.02
G0753,5,127.53,637.64
G1343,6,134.48,806.9
G5070,1,336.13,336.13
G3870,1,325.33,325.33
G2806,4,116.37,465.47
G2765,6,116.07,696.43
G4730,2,313.37,626.75
G4296,1,325.93,325.93
G1674,5,104.45,522.24
G3355,1,297.58,297.58
G4905,2,328.76,657.52
G2311,5,112.28,561.38
G0403,6,116.95,701.73
G1890,5,121.36,606.8
G3970,2,319.07,638.15
G0021,7,127.0,889.02
G3514,1,326.26,326.26
G2100,6,115.68,694.08
G0563,6,93.1,558.6
G0097,6,125.42,752.5
G2687,6,127.55,765.31
G1311,5,115.44,577.22
G4113,2,319.93,639.86
G4884,1,333.64,333.64
G1951,4,117.4,469.61
G4833,2,321.58,643.17
G0348,4,130.91,523.62
G0982,6,131.41,788.44
G4374,1,321.52,321.52
G3021,2,332.83,665.66
G3757,2,341.6,683.21
G2090,7,107.86,755.05
G1734,5,119.73,598.67
G3189,1,328.66,328.66
G5790,1,340.19,340.19
G5725,1,351.51,351.51
G1151,5,114.4,571.98
G1046,6,110.85,665.09
G4838,1,319.73,319.73
G0500,4,111.43,445.73
G0995,4,94.35,377.4
G1215,5,115.45,577.27
G4420,1,330.14,330.14
G5067,2,325.53,651.06
G4536,1,311.8,311.8
G2244,4,121.54,486.18
G5294,3,357.51,1072.54
G4911,2,328.88,657.76
G0227,6,106.53,639.19
G3662,1,334.22,334.22
G3132,1,360.2,360.2
G0119,7,125.49,878.41
G4524,2,329.07,658.14
G3301,1,336.32,336.32
G1237,7,129.35,905.46
G3632,2,328.54,657.08
G2187,4,111.31,445.24
G2654,7,126.28,883.98
G0499,5,113.17,565.84
G2596,3,97.57,292.72
G5188,2,338.23,676.45
G2760,6,123.53,741.19
G4424,2,329.8,659.6
G2321,6,117.23,703.4
G4055,2,313.43,626.87
G5456,2,339.14,678.29
G3095,2,348.25,696.49
G5546,3,349.44,1048.33
G5726,1,319.56,319.56
G0944,5,91.1,455.48
G0369,6,119.0,714.03
G4912,2,335.15,670.31
G2394,5,116.49,582.47
G5465,2,379.32,758.63
G1973,6,104.92,629.49
G1374,4,116.35,465.41
G0579,4,106.85,427.38
G3452,2,336.24,672.47
G4825,2,313.27,626.54
G1165,7,110.67,774.71
G3366,3,307.49,922.46
G4060,2,308.41,616.81
G1363,6,117.77,706.6
G2018,3,135.42,406.27
G2518,3,121.27,363.8
G2918,6,96.27,577.59
G2950,4,100.05,400.21
G2463,6,125.9,755.41
G3470,1,328.59,328.59
G2701,6,114.75,688.47
G0799,6,105.07,630.4
G5543,1,334.13,334.13
G4244,1,337.73,337.73
G0573,6,118.21,709.25
G5560,2,313.26,626.52
G3014,2,332.23,664.46
G5302,1,330.53,330.53
G0170,5,110.84,554.2
G4118,1,336.51,336.51
G5713,1,347.11,347.11
G2820,4,112.35,449.39
G3765,1,332.23,332.23
G1320,5,111.63,558.17
G2862,6,127.28,763.68
G0974,5,115.87,579.33
G1443,6,120.52,723.11
G1114,6,99.7,598.17
G0036,4,119.47,477.87
G2509,4,112.73,450.92
G4170,2,322.3,644.61
G3180,2,323.13,646.26
G3579,2,313.77,627.54
G2475,6,113.3,679.81
G1167,7,112.03,784.18
G1990,6,138.92,833.53
G2554,6,121.39,728.32
G5297,3,317.94,953.83
G3504,1,314.63,314.63
G1537,6,117.17,703.0
G1969,5,112.06,560.28
G1656,5,136.55,682.75
G2184,7,118.68,830.73
G5804,2,323.35,646.69
G1625,7,118.56,829.94
G1385,6,108.93,653.55
G5063,1,303.16,303.16
G3799,1,328.27,328.27
G2843,7,100.06,700.45
G0441,6,116.46,698.73
G3418,2,335.76,671.53
G3231,2,329.21,658.42
G2016,5,109.88,549.41
G4197,2,334.09,668.18
G3063,1,336.01,336.01
G4684,2,341.69,683.37
G3108,1,336.72,336.72
G2786,5,120.91,604.56
G0309,6,132.61,795.67
G1975,5,100.28,501.4
G1731,5,103.11,515.55
G3673,2,314.59,629.18
G0383,3,117.13,351.38
G2844,4,93.76,375.04
G1906,6,124.28,745.69
G3902,2,335.55,671.1
G1484,5,120.53,602.67
G2962,5,136.05,680.26
G0663,5,118.73,593.67
G0967,5,118.11,590.56
G5731,1,314.55,314.55
G0561,6,117.33,703.97
G1629,6,125.96,755.76
G2497,5,113.71,568.57
G5670,2,304.75,609.5
G0366,5,134.53,672.66
G0469,5,110.45,552.27
G0503,4,115.45,461.81
G2326,6,114.91,689.45
G5501,3,338.3,1014.91
G1458,6,101.67,610.01
G5652,2,325.49,650.98
G0217,5,98.43,492.17
G5691,2,321.42,642.85
G2773,5,121.98,609.88
G2119,3,99.18,297.53
G2909,5,131.71,658.57
G4254,2,318.47,636.95
G5883,2,325.03,650.06
G4526,1,328.71,328.71
G3115,1,330.21,330.21
G0651,7,119.08,833.56
G1693,6,124.51,747.08
G4074,2,336.89,673.78
G4163,2,334.25,668.49
G1517,7,110.83,775.78
G4703,1,323.68,323.68
G4360,3,331.84,995.51
G1551,5,128.93,644.66
G2840,5,109.09,545.44
G5621,1,325.28,325.28
G5929,1,320.83,320.83
G3987,1,324.43,324.43
G3237,1,338.05,338.05
G3864,2,313.9,627.8
G4554,1,308.07,308.07
G3566,2,331.55,663.1
G0633,5,112.64,563.2
G3295,1,359.3,359.3
G2363,4,115.62,462.48
G5214,1,338.66,338.66
G1588,5,124.19,620.95
G5645,2,337.65,675.3
G4742,1,332.15,332.15
G4891,2,331.24,662.49
G2861,5,127.43,637.17
G0043,5,109.13,545.67
G4847,1,349.05,349.05
G3253,3,323.47,970.42
G3641,1,304.48,304.48
G2256,6,103.66,621.97
G5476,1,351.36,351.36
G4312,1,322.16,322.16
G0091,6,96.82,580.92
G3023,3,314.47,943.4
G0041,6,121.1,726.61
G2190,6,132.31,793.87
G4008,2,318.27,636.55
G5331,1,335.24,335.24
G0912,6,117.19,703.11
G4147,2,312.46,624.92
G0653,5,119.45,597.24
G0972,5,103.98,519.89
G0088,6,127.19,763.14
G4126,1,328.09,328.09
G1081,5,121.34,606.68
G4175,2,320.08,640.17
G2130,6,115.98,695.87
G5814,2,353.52,707.03
G2241,6,113.98,683.88
G0067,5,132.55,662.75
G5308,3,313.05,939.16
G5708,2,339.34,678.67
G0003,6,110.86,665.18
G3906,2,311.13,622.25
G0551,6,109.69,658.11
G1423,5,127.55,637.77
G4850,1,320.54,320.54
G3574,1,288.82,288.82
G3800,2,312.25,624.51
G5908,1,302.89,302.89
G3824,2,323.11,646.22
G1205,6,116.11,696.63
G0113,6,111.99,671.95
G1212,5,109.62,548.1
G5853,1,348.48,348.48
G4574,2,336.18,672.36
G4521,2,323.83,647.66
G3619,1,345.41,345.41
G2459,6,104.64,627.82
G4993,2,321.08,642.16
G0402,5,120.7,603.49
G5834,2,305.94,611.89
G4862,2,309.95,619.89
G4948,2,341.9,683.8
G0443,3,116.41,349.23
G4149,2,304.01,608.03
G0844,6,101.28,607.7
G4572,2,322.17,644.35
G2779,5,115.29,576.46
G2963,5,115.35,576.74
G3583,1,307.01,307.01
G0373,7,129.51,906.56
G0803,6,102.83,616.96
G5879,2,334.49,668.98
G5669,2,328.54,657.07
G2796,5,113.94,569.69
G5502,1,336.3,336.3
G3250,2,304.87,609.73
G1487,4,119.21,476.83
G2267,4,125.92,503.68
G4541,2,309.09,618.19
G0801,6,101.11,606.69
G1694,4,120.27,481.08
G5757,1,331.43,331.43
G5184,2,324.14,648.29
G2179,8,113.75,910.01
G5420,1,342.62,342.62
G2675,4,101.81,407.24
G2434,5,111.55,557.74
G2951,7,116.37,814.56
G5864,1,354.56,354.56
G0737,6,110.42,662.53
G4998,1,347.69,347.69
G0941,4,118.79,475.17
G0284,4,123.76,495.06
G3319,2,323.04,646.08
G2538,6,111.46,668.78
G4818,1,333.03,333.03
G1647,5,101.07,505.36
G2967,6,123.51,741.07
G5462,1,336.56,336.56
G4804,2,330.66,661.32
G5439,1,335.57,335.57
G5967,1,331.17,331.17
G5665,1,331.52,331.52
G1893,5,109.31,546.53
G5706,2,341.25,682.49
G1325,6,107.37,644.25
G4251,2,321.63,643.26
G0889,6,116.43,698.58
G5733,2,344.05,688.09
G0078,5,120.53,602.65
G5233,1,332.89,332.89
G2140,4,108.41,433.64
G4066,1,329.21,329.21
G3890,1,313.21,313.21
G1476,6,120.14,720.84
G1715,5,115.81,579.06
G5052,1,304.91,304.91
G2500,6,130.99,785.97
G2461,6,114.63,687.8
G3882,1,326.36,326.36
G1706,5,113.71,568.57
G0968,7,96.1,672.72
G4943,1,340.32,340.32
G5572,2,326.2,652.41
G1266,4,119.94,479.74
G0581,6,136.25,817.49
G5885,3,330.61,991.82
G3185,1,327.43,327.43
G3401,2,340.73,681.46
G4443,2,328.69,657.39
G4647,1,359.45,359.45
G0288,6,112.88,677.3
G5743,2,328.37,656.74
G5422,2,339.15,678.3
G5574,2,330.33,660.65
G0920,6,114.41,686.44
G5723,2,324.61,649.23
G5444,1,336.41,336.41
G3620,1,320.28,320.28
G1282,5,99.88,499.41
G0142,7,93.73,656.09
G0771,6,125.02,750.11
G1436,6,121.96,731.75
G2395,5,100.89,504.45
G5452,2,317.17,634.33
G4240,1,342.6,342.6
G4706,1,319.4,319.4
G3317,3,325.73,977.18
G1543,7,96.79,677.52
G5101,1,335.56,335.56
G2777,5,119.52,597.6
G4195,2,324.98,649.96
G5464,1,307.35,307.35
G3272,2,349.18,698.35
G3069,2,352.38,704.75
G0505,5,109.98,549.91
G0783,6,104.57,627.45
G2534,5,117.1,585.52
G4826,2,325.83,651.65
G5289,1,318.22,318.22
G5931,1,322.62,322.62
G2562,6,114.74,688.42
G2934,6,91.86,551.16
G4611,2,326.95,653.9
G4764,2,354.01,708.03
G5632,1,325.04,325.04
G3524,2,362.58,725.15
G3260,1,326.23,326.23
G2168,4,113.49,453.98
G4271,1,324.49,324.49
G1659,4,117.46,469.84
G1520,7,106.02,742.15
G2287,6,102.83,616.99
G2004,5,111.7,558.5
G1480,5,125.54,627.69
G3267,2,326.3,652.59
G3588,1,338.71,338.71
G3497,2,348.64,697.28
G4373,1,334.96,334.96
G3648,1,329.57,329.57
G5600,2,328.19,656.39
G0050,4,126.97,507.89
G0459,5,115.19,575.94
G3889,1,333.84,333.84
G0275,5,105.84,529.19
G0200,4,119.37,477.49
G5103,1,315.51,315.51
G1821,5,113.42,567.08
G1180,4,111.57,446.28
G3225,2,307.59,615.17
G2580,7,115.16,806.1
G0382,5,126.91,634.53
G2301,7,112.91,790.39
G5221,1,316.15,316.15
G2077,6,115.41,692.48
G4327,2,332.08,664.16
G0678,7,113.5,794.48
G0034,4,105.18,420.71
G3243,2,329.8,659.59
G4402,2,328.82,657.64
G3548,1,341.19,341.19
G1883,4,106.48,425.9
G3671,2,332.81,665.61
G5607,1,317.93,317.93
G4857,1,334.8,334.8
G4340,2,313.09,626.18
G4212,1,336.04,336.04
G1782,5,117.92,589.58
G4172,1,343.65,343.65
G1908,4,103.47,413.86
G3016,1,315.35,315.35
G5674,2,361.58,723.15
G4496,1,326.09,326.09
G5596,1,343.01,343.01
G0960,6,116.86,701.18
G3399,2,322.01,644.01
G5829,2,317.73,635.46
G0285,8,99.39,795.08
G5570,1,319.86,319.86
G3950,2,349.51,699.02
G2479,4,110.18,440.71
G3789,1,306.53,306.53
G4278,1,335.87,335.87
G5171,1,343.42,343.42
G1717,6,138.88,833.3
G0881,8,118.02,944.14
G3685,2,318.3,636.61
G5897,2,325.03,650.06
G0843,4,124.79,499.16
G2219,8,109.86,878.89
G0060,6,111.04,666.26
G1301,5,110.76,553.82
G5058,1,319.86,319.86
G4484,1,339.18,339.18
G4145,2,333.39,666.79
G1242,5,123.92,619.6
G3834,2,324.69,649.38
G4469,1,348.36,348.36
G5290,1,359.23,359.23
G4062,2,333.58,667.15
G1152,3,126.28,378.83
G1391,6,120.15,720.89
G3665,1,321.12,321.12
G1176,5,119.92,599.58
G5162,2,315.41,630.83
G2483,7,115.83,810.79
G2541,5,131.89,659.46
G1801,7,120.07,840.49
G2981,6,105.02,630.09
G3485,2,307.62,615.24
G3034,1,312.3,312.3
G4470,2,344.24,688.48
G4051,2,303.42,606.84
G1142,7,131.38,919.69
G4634,2,307.07,614.14
G1310,6,110.35,662.13
G5123,2,339.86,679.72
G4120,2,313.16,626.31
G3005,1,327.67,327.67
G0892,6,120.83,724.95
G2667,6,121.94,731.64
G2899,5,115.38,576.88
G4106,1,321.81,321.81
G4913,1,308.45,308.45
G4829,2,321.71,643.42
G1023,5,96.48,482.41
G5219,1,339.63,339.63
G5646,1,340.77,340.77
G0148,4,107.88,431.51
G4247,1,310.01,310.01
G2063,6,111.65,669.89
G4357,2,337.5,674.99
G0928,6,119.62,717.75
G1560,5,121.55,607.77
G3881,2,330.69,661.38
G5794,1,330.28,330.28
G3730,3,335.82,1007.45
G1105,7,114.37,800.62
G5002,1,336.49,336.49
G4499,1,348.71,348.71
G5527,1,334.35,334.35
G1628,7,107.67,753.69
G2683,5,104.93,524.65
G2235,4,118.08,472.31
G4141,1,327.32,327.32
G3913,1,319.23,319.23
G0426,7,125.64,879.48
G3901,2,344.02,688.04
G3948,2,320.79,641.58
G1832,6,103.14,618.82
G3623,2,332.73,665.47
G1491,5,118.95,594.77
G3896,1,318.33,318.33
G3663,2,324.83,649.65
G5356,2,351.34,702.67
G5379,2,338.77,677.55
G1392,5,123.2,616.0
G1853,4,120.31,481.24
G4392,2,348.25,696.5
G1269,5,103.79,518.94
G1793,5,113.85,569.27
G4274,1,344.1,344.1
G1083,5,131.79,658.93
G4981,1,294.86,294.86
G2725,7,110.52,773.64
G5210,2,355.16,710.32
G4405,1,323.68,323.68
G1014,5,116.99,584.93
G0986,4,94.18,376.72
G0053,5,112.11,560.57
G5457,2,358.76,717.52
G0874,5,100.23,501.15
G2890,6,111.49,668.95
G5637,2,329.26,658.52
G2585,7,126.68,886.73
G1529,5,114.47,572.34
G4418,1,333.26,333.26
G1548,6,114.43,686.56
G3729,1,323.06,323.06
G0997,7,94.22,659.55
G1163,4,112.31,449.25
G0385,5,126.06,630.3
G4757,1,327.82,327.82
G0623,7,95.22,666.52
G1924,6,129.14,774.85
G1932,6,93.09,558.52
G2107,5,104.7,523.5
G5538,3,332.81,998.42
G4598,1,343.27,343.27
G2584,7,118.91,832.38
G5341,2,328.83,657.65
G5940,1,354.88,354.88
G1636,5,90.0,450.0
G2215,5,118.6,593.02
G5319,1,328.95,328.95
G2586,5,107.76,538.8
G1102,3,107.21,321.63
G3875,1,334.78,334.78
G1247,6,116.64,699.86
G1817,3,128.2,384.61
G1483,7,106.55,745.84
G0398,7,129.89,909.24
G3831,2,314.72,629.44
G2154,6,109.71,658.25
G5683,1,359.28,359.28
G2347,5,112.25,561.26
G1673,5,119.8,599.01
G4462,1,315.16,315.16
G5211,2,344.93,689.87
G5025,1,331.87,331.87
G0040,6,112.93,677.6
G4380,2,327.8,655.6
G0897,5,128.93,644.67
G0205,4,105.48,421.91
G5497,2,322.87,645.74
G4603,2,317.16,634.33
G3379,2,324.0,648.01
G4677,1,346.54,346.54
G4021,3,353.17,1059.52
G2098,4,103.78,415.13
G3493,2,323.51,647.02
G3348,2,341.25,682.49
G3677,2,314.6,629.21
G5347,1,325.9,325.9
G4680,1,342.07,342.07
G0999,5,131.43,657.17
G0173,5,101.83,509.14
G0083,7,95.33,667.31
G0026,6,111.11,666.69
G1576,5,112.78,563.92
G1819,5,121.28,606.38
G0161,5,108.93,544.67
G1899,6,121.71,730.25
G0406,6,90.0,540.0
G1644,6,128.89,773.34
G3722,2,333.57,667.13
G2695,6,132.11,792.66
G0301,5,118.39,591.93
G3816,2,333.08,666.16
G4629,1,343.96,343.96
G2540,6,124.52,747.15
G1464,5,126.63,633.14
G3136,1,322.03,322.03
G3545,2,351.13,702.26
G5135,1,332.71,332.71
G5122,1,330.82,330.82
G0848,8,110.37,882.96
G5692,2,356.44,712.87
G2411,6,109.73,658.41
G1069,5,103.11,515.54
G4285,2,331.82,663.64
G5292,3,343.89,1031.67
G0115,5,118.89,594.45
G4022,1,339.06,339.06
G1063,7,105.49,738.44
G2245,7,124.72,873.04
G4223,1,299.08,299.08
G1803,5,101.05,505.23
G3519,1,326.99,326.99
G3101,1,324.88,324.88
G0539,7,114.51,801.57
G1169,6,124.86,749.18
G2937,5,127.27,636.35
G3004,1,300.86,300.86
G3612,2,339.54,679.07
G3008,1,344.7,344.7
G3117,2,354.19,708.39
G1344,7,125.25,876.76
G1653,6,115.46,692.73
G1337,5,98.39,491.95
G3471,2,336.19,672.37
G5400,1,326.84,326.84
G2702,7,112.83,789.8
G1762,6,121.69,730.13
G1324,6,104.23,625.4
G4132,1,314.46,314.46
G3277,2,323.63,647.26
G2222,5,115.13,575.67
G3178,1,322.0,322.0
G0472,3,114.19,342.57
G1966,6,112.64,675.86
G0797,5,113.36,566.78
G3213,1,348.2,348.2
G0877,5,124.5,622.5
G5388,2,341.36,682.72
G2919,6,121.46,728.75
G0869,6,116.4,698.39
G5041,1,322.41,322.41
G2927,5,121.72,608.62
G0541,6,118.31,709.85
G0858,6,120.91,725.48
G1915,4,102.28,409.12
G3798,2,335.63,671.26
G4124,1,305.89,305.89
G3322,1,323.91,323.91
G4798,1,322.76,322.76
G5884,1,331.21,331.21
G3236,2,310.31,620.63
G2277,6,100.3,601.77
G5721,1,326.79,326.79
G2345,3,111.71,335.12
G4751,2,334.88,669.76
G5720,1,356.16,356.16
G2878,5,118.81,594.04
G3500,1,354.98,354.98
G1041,7,117.05,819.33
G5110,2,309.91,619.81
G3428,2,320.81,641.63
G0866,5,107.72,538.58
G0759,5,117.77,588.87
G0068,7,115.18,806.29
G5945,1,360.27,360.27
G5410,1,352.95,352.95
G3460,2,326.98,653.96
G2516,6,99.81,598.86
G1999,5,123.08,615.4
G0066,7,118.22,827.51
G4901,1,316.1,316.1
G4589,2,335.98,671.96
G0109,6,119.51,717.04
G2341,6,104.46,626.77
G4152,2,317.18,634.36
G4640,1,329.58,329.58
G0243,6,98.31,589.88
G5624,2,315.43,630.86
G3320,1,313.53,313.53
G1442,7,117.23,820.62
G0937,4,127.5,509.98
G4219,1,347.81,347.81
G1627,5,108.33,541.64
G5394,1,294.17,294.17
G4714,2,301.15,602.3
G1521,7,110.12,770.86
G0007,7,119.86,839.02
G1962,6,104.7,628.21
G0286,4,130.03,520.14
G3562,2,317.95,635.9
G4267,2,323.6,647.2
G4870,2,338.93,677.85
G2980,6,119.86,719.18
G0728,6,125.7,754.19
G1280,5,118.64,593.2
G2873,3,118.6,355.81
G4823,1,306.4,306.4
G5163,2,300.86,601.72
G4377,2,344.41,688.82
G3693,1,367.96,367.96
G5654,1,355.18,355.18
G5231,2,334.54,669.09
G3780,1,335.53,335.53
G3993,2,339.93,679.87
G0035,6,115.59,693.54
G5239,2,332.45,664.9
G4107,1,338.44,338.44
G5084,2,323.55,647.1
G3973,3,342.68,1028.04
