Guest_ID,Lead_Time_Days,Avg_Daily_Rate_USD,Length_Of_Stay_Days
G_5829,5.5,94.2,3.2
G_3488,66.9,153.9,5.3
G_4537,6.4,77.5,2.1
G_5287,7.4,75.0,2.0
G_5496,5.5,82.9,2.9
G_1868,4.7,261.3,1.7
G_091,3.1,228.2,1.5
G_2816,62.7,131.3,6.5
G_3410,77.7,157.1,9.3
G_2406,80.1,82.7,8.6
G_2472,55.3,160.8,7.1
G_625,5.4,230.2,2.2
G_070,2.0,243.2,2.5
G_3625,100.8,105.5,10.3
G_1506,2.3,185.7,2.4
G_3492,48.4,129.1,7.3
G_5138,3.3,82.7,2.3
G_4670,1.8,66.0,2.3
G_765,4.7,226.3,1.5
G_294,4.3,199.8,1.9
G_4353,0.3,80.6,2.8
G_446,4.0,226.6,1.6
G_469,2.2,237.1,2.1
G_3436,64.4,101.6,5.2
G_1220,6.2,238.0,1.4
G_433,2.6,219.4,2.1
G_3188,91.8,137.8,7.8
G_1489,1.0,196.9,1.6
G_3548,45.3,144.9,4.8
G_3752,64.8,132.9,9.2
G_578,4.2,244.9,2.9
G_2174,40.2,114.3,7.5
G_246,2.5,222.6,1.2
G_4191,5.9,89.2,2.9
G_368,3.0,177.3,2.0
G_4569,1.7,68.5,3.0
G_2901,74.2,127.7,5.6
G_1612,1.0,222.8,2.9
G_2846,66.6,115.2,6.7
G_3785,62.9,99.0,5.3
G_4210,2.8,80.9,1.8
G_5501,5.9,74.1,3.5
G_1243,2.1,178.3,2.4
G_2371,56.1,122.3,5.8
G_4270,3.5,66.6,1.7
G_4473,5.6,60.3,3.0
G_4386,4.8,77.6,1.0
G_556,2.4,233.4,1.8
G_2164,37.0,129.6,6.8
G_5969,3.0,69.9,1.5
G_5960,5.1,68.3,1.3
G_4743,7.4,79.8,2.5
G_5852,4.6,60.2,1.8
G_4276,7.1,80.1,2.2
G_1964,4.0,239.2,1.3
G_4265,2.0,78.3,3.0
G_3290,59.8,147.8,9.9
G_5585,6.4,61.6,2.2
G_152,3.5,261.5,2.6
G_4675,1.8,71.0,2.4
G_4733,2.1,74.6,1.4
G_4759,6.2,67.3,2.9
G_5271,4.1,73.1,1.5
G_4215,7.4,82.2,1.6
G_3495,44.1,111.5,8.9
G_5831,6.0,74.7,1.4
G_3693,82.4,180.0,9.2
G_4621,4.0,93.3,2.0
G_3608,50.4,138.7,7.3
G_1756,5.1,170.8,1.5
G_5274,5.2,84.2,3.0
G_4560,2.1,71.7,1.6
G_749,2.1,229.7,1.6
G_5781,9.6,70.5,2.5
G_1534,2.8,189.0,2.1
G_1043,4.6,205.3,1.9
G_5492,6.5,77.6,1.6
G_3880,66.0,164.3,6.1
G_2664,30.0,163.3,4.4
G_5107,1.3,72.9,2.2
G_1558,1.8,223.1,2.5
G_492,5.2,202.8,1.5
G_4374,3.1,94.9,3.4
G_3383,55.3,104.8,4.9
G_5528,6.3,69.8,3.3
G_472,1.0,279.1,2.6
G_5304,6.7,72.2,1.3
G_2313,41.4,134.8,6.1
G_5598,6.5,50.9,2.1
G_808,2.3,199.2,2.3
G_5671,8.6,70.2,1.5
G_4880,6.7,70.2,2.7
G_897,2.7,167.9,1.2
G_5372,3.7,90.5,3.2
G_2504,39.4,124.7,7.1
G_5684,6.7,98.8,1.3
G_4323,1.0,92.6,2.5
G_355,3.0,250.3,2.2
G_252,4.4,257.8,2.1
G_186,4.1,258.3,2.2
G_2379,73.6,146.2,6.7
G_1184,1.0,211.7,2.2
G_2111,75.6,110.7,6.0
G_4275,5.4,90.1,2.9
G_228,1.4,205.0,2.2
G_2154,46.9,99.6,4.9
G_5768,1.4,66.1,2.6
G_1296,2.9,193.1,1.9
G_5932,1.4,74.6,2.4
G_4852,8.5,58.0,2.7
G_3939,82.4,104.7,6.0
G_5461,4.2,59.5,1.9
G_2803,30.0,139.9,7.4
G_3185,60.6,126.6,6.3
G_1906,3.7,211.9,1.8
G_5037,8.7,75.4,2.7
G_2224,88.2,139.0,7.6
G_3839,55.9,110.0,9.8
G_3182,54.6,122.2,6.3
G_293,2.1,222.1,1.3
G_2722,76.3,133.8,4.0
G_550,2.1,272.2,1.9
G_4255,1.6,93.7,1.7
G_5530,6.1,81.6,2.8
G_1570,2.2,242.6,1.5
G_1076,2.3,265.5,2.1
G_4441,5.6,87.6,1.0
G_2448,53.1,174.2,5.4
G_1323,2.9,181.3,2.5
G_5060,5.8,65.6,1.8
G_2969,59.1,140.7,7.9
G_3210,77.3,147.7,9.5
G_2671,63.6,152.4,8.2
G_2421,42.9,135.7,8.6
G_3735,61.8,157.2,5.8
G_5110,3.0,71.7,1.0
G_3054,64.9,123.3,7.0
G_2835,65.8,144.1,9.5
G_3718,77.7,108.7,5.9
G_3338,33.9,125.8,5.9
G_3197,66.8,160.7,4.1
G_4867,5.7,85.2,4.5
G_3741,70.6,113.7,7.0
G_4887,5.7,73.5,1.0
G_5801,5.2,60.2,3.4
G_1143,2.8,217.5,2.5
G_4644,7.1,69.8,1.6
G_933,1.0,197.8,2.8
G_614,1.3,219.8,1.7
G_2228,65.9,173.7,7.1
G_4739,9.5,62.8,3.8
G_3241,70.3,145.6,6.7
G_3470,69.3,128.1,7.2
G_5051,5.6,73.8,2.0
G_4692,5.3,76.6,2.7
G_3816,62.3,134.1,8.1
G_4102,3.2,70.8,3.1
G_5408,3.0,75.2,2.6
G_506,2.3,199.4,2.2
G_1510,5.2,206.7,1.9
G_1667,1.5,238.3,2.3
G_273,4.7,203.1,1.3
G_2116,44.5,126.8,7.2
G_5165,3.2,80.5,2.1
G_4506,7.3,71.8,3.5
G_1486,4.4,207.1,2.4
G_4302,4.8,67.4,2.6
G_702,4.6,247.3,1.3
G_3834,55.9,122.9,4.6
G_3590,62.5,146.0,5.5
G_107,5.8,197.5,1.9
G_5048,5.9,77.0,2.0
G_5001,5.0,73.6,2.2
G_5318,5.8,72.5,2.6
G_4768,5.4,94.9,2.0
G_5242,3.4,84.9,2.6
G_3850,55.1,143.7,6.7
G_953,1.1,231.7,2.4
G_2365,80.9,147.6,5.6
G_3896,51.8,114.4,6.6
G_3840,54.6,105.6,7.2
G_2651,63.9,108.2,6.7
G_3227,59.1,120.2,11.1
G_4931,3.6,99.4,2.8
G_2911,30.0,112.4,6.9
G_1085,3.6,215.4,2.5
G_3540,55.3,124.0,9.1
G_3545,75.9,158.2,7.3
G_4642,4.6,77.3,2.8
G_1421,3.8,204.8,2.0
G_2771,59.5,122.5,8.9
G_1787,2.5,227.9,1.9
G_4481,4.5,66.4,1.3
G_1889,2.3,223.6,1.0
G_5662,6.2,68.4,1.3
G_5650,6.2,77.4,2.7
G_417,5.3,233.8,2.1
G_1216,4.9,264.5,2.3
G_4839,5.8,78.1,2.6
G_5747,0.2,89.8,4.0
G_565,4.8,197.6,2.4
G_479,7.6,186.5,1.3
G_5838,4.9,94.3,2.7
G_143,1.0,224.3,2.2
G_1213,1.9,261.7,1.9
G_5298,7.1,76.0,2.0
G_1098,1.0,234.6,1.4
G_2143,59.8,101.1,6.1
G_606,5.8,215.4,1.9
G_3787,61.6,133.9,6.0
G_2576,77.3,138.1,7.6
G_498,2.7,213.0,2.5
G_2543,33.7,116.3,7.1
G_4482,4.7,64.2,2.7
G_5222,7.9,87.9,3.3
G_2464,69.0,107.9,5.7
G_722,1.0,207.4,2.3
G_1087,4.5,218.6,2.0
G_1026,3.7,210.3,1.4
G_1358,3.6,166.8,1.5
G_3257,58.8,113.3,4.0
G_2813,47.4,131.7,6.8
G_3399,65.7,119.3,6.9
G_4812,4.4,81.8,3.5
G_4833,4.7,80.0,3.0
G_2893,41.3,111.3,7.0
G_3408,70.5,121.5,9.3
G_2958,87.1,122.9,7.3
G_4752,9.4,73.5,3.4
G_337,1.8,232.5,1.2
G_5258,5.8,85.7,2.5
G_1965,3.8,204.8,2.7
G_3558,59.8,144.7,4.0
G_1562,1.9,201.1,2.0
G_1739,4.4,210.7,1.7
G_4363,6.0,67.1,1.9
G_2440,67.9,140.2,6.0
G_2019,57.8,172.4,5.9
G_3097,100.7,104.7,5.0
G_725,3.3,269.1,2.0
G_766,1.9,240.5,2.1
G_287,2.8,239.6,1.8
G_308,2.1,215.4,2.4
G_5211,6.8,84.4,1.8
G_4669,6.0,70.6,2.6
G_5436,7.3,68.4,2.3
G_1731,2.7,241.5,1.9
G_4410,1.3,86.4,3.1
G_5086,4.2,75.1,3.0
G_1472,2.1,218.0,2.2
G_072,5.3,250.9,1.6
G_1567,3.1,225.7,2.5
G_712,2.9,258.3,2.3
G_3711,65.0,109.1,10.0
G_1021,3.8,250.0,2.0
G_1346,1.0,260.7,2.8
G_4999,8.1,66.2,3.1
G_3159,47.2,158.0,8.0
G_738,4.5,228.6,2.0
G_5401,2.9,76.3,3.0
G_2433,37.8,117.3,7.5
G_5804,4.1,67.4,2.7
G_5571,4.4,52.0,4.1
G_1236,5.5,224.7,3.0
G_2260,55.0,135.4,7.0
G_5480,5.4,58.1,2.0
G_4380,6.5,83.5,2.0
G_3951,38.8,147.4,8.9
G_5489,5.5,77.7,1.7
G_979,1.0,233.6,2.2
G_4624,4.9,66.9,2.2
G_5109,3.9,81.1,3.4
G_2023,97.4,93.8,9.0
G_3521,74.8,150.6,9.0
G_5282,5.2,65.4,2.9
G_345,2.3,166.2,1.7
G_5000,2.5,73.5,2.7
G_912,3.3,229.0,2.7
G_2437,39.8,133.2,4.7
G_048,4.6,219.8,3.4
G_4081,7.5,67.8,2.3
G_5196,2.0,69.7,2.5
G_444,2.9,237.2,2.3
G_3593,48.7,155.0,10.5
G_3131,58.9,154.4,4.6
G_2487,56.6,138.3,6.6
G_5709,2.6,62.8,2.6
G_1894,2.8,172.3,1.2
G_3018,47.2,115.3,5.9
G_1221,1.2,193.7,2.9
G_3831,57.1,109.6,6.2
G_2269,74.5,115.0,6.8
G_1056,2.0,198.6,1.4
G_849,2.0,204.8,1.7
G_3893,42.1,122.7,5.6
G_5847,4.9,68.8,2.0
G_3878,64.9,102.8,6.5
G_2743,36.5,132.6,5.8
G_5607,6.4,77.4,2.6
G_4281,9.1,59.2,1.5
G_1329,1.2,192.7,2.2
G_2875,39.8,139.3,9.1
G_4631,8.9,68.0,2.7
G_777,1.9,213.6,2.0
G_5677,4.3,71.5,2.4
G_184,3.7,254.3,1.7
G_3130,79.6,149.9,8.5
G_4099,6.4,74.2,1.5
G_1194,3.5,204.6,1.7
G_3649,45.0,136.3,7.3
G_735,4.5,269.7,2.1
G_1836,3.5,210.1,1.8
G_2273,58.6,119.4,10.0
G_3794,53.2,110.9,7.0
G_486,1.0,241.5,1.2
G_1164,1.0,202.6,2.0
G_453,1.5,218.3,2.6
G_2299,54.8,126.3,8.6
G_4595,7.9,56.2,2.2
G_031,2.1,240.2,2.4
G_790,1.0,224.5,1.9
G_5099,5.2,81.8,2.5
G_1966,3.1,229.1,2.1
G_1110,5.9,173.3,2.0
G_101,1.0,229.4,1.2
G_3971,84.0,111.7,7.4
G_3013,73.1,80.0,6.8
G_3168,58.3,110.0,8.4
G_4725,6.4,71.6,3.0
G_1771,3.1,245.0,2.9
G_1920,2.3,218.5,1.5
G_3756,61.9,150.9,8.9
G_4542,3.6,88.6,3.7
G_862,1.0,232.1,1.6
G_1502,2.2,204.3,2.3
G_904,4.9,228.2,1.8
G_5056,5.0,62.6,4.1
G_110,2.9,235.1,2.1
G_5369,4.6,72.6,1.4
G_5873,7.9,70.6,3.4
G_5035,9.1,65.0,2.5
G_4398,4.7,63.8,3.3
G_1927,1.0,244.0,2.3
G_2134,60.5,166.7,6.6
G_3526,48.1,113.6,7.5
G_5862,8.1,89.9,2.3
G_4651,7.7,87.5,3.4
G_3672,30.0,137.8,7.0
G_4394,3.4,76.4,2.5
G_3046,51.7,100.3,8.3
G_5547,2.8,73.7,2.5
G_5161,4.8,66.6,3.5
G_5639,8.4,66.4,2.0
G_3887,77.6,127.2,6.8
G_1095,4.1,198.4,1.9
G_1122,4.8,204.7,1.8
G_2517,85.4,111.5,5.3
G_2211,74.8,142.5,6.5
G_810,1.7,206.3,1.8
G_4253,9.7,64.6,2.7
G_3275,81.5,117.0,8.1
G_5908,4.1,73.0,2.7
G_4344,6.5,77.9,3.3
G_5846,4.3,83.6,3.2
G_5504,6.1,88.0,3.2
G_5654,4.5,78.9,1.4
G_3945,66.2,126.1,10.0
G_5040,7.7,75.2,3.0
G_2544,57.3,129.8,4.0
G_1774,3.3,201.0,1.6
G_2847,61.4,123.1,8.9
G_5800,0.0,89.8,1.9
G_1766,1.7,220.4,1.8
G_3898,58.2,124.6,7.4
G_5629,5.9,55.7,3.1
G_1757,2.8,222.6,2.3
G_2347,53.5,122.5,8.3
G_2997,71.5,153.3,7.5
G_1596,1.5,248.7,1.1
G_5967,7.0,71.1,1.5
G_3253,75.9,121.3,5.7
G_830,2.6,210.8,1.5
G_5865,6.3,72.8,1.5
G_1859,3.4,201.9,1.8
G_439,1.0,209.1,1.8
G_628,2.8,237.4,1.6
G_5979,4.4,57.9,3.5
G_2880,35.6,117.0,5.7
G_926,1.0,226.3,1.7
G_4122,4.8,72.1,1.5
G_4875,2.5,81.1,1.0
G_5737,6.4,79.3,3.8
G_2866,75.5,155.4,9.2
G_5952,5.7,75.2,2.9
G_1174,2.9,239.4,1.5
G_3361,48.6,158.5,9.0
G_3198,58.4,158.3,9.7
G_945,5.8,228.1,2.9
G_4770,5.2,66.8,3.2
G_2289,81.7,117.3,6.1
G_013,3.4,200.8,1.5
G_1118,2.9,201.1,1.7
G_4366,1.6,87.0,3.2
G_3656,55.0,156.1,6.0
G_5696,5.6,72.9,1.9
G_643,2.6,198.8,1.9
G_2590,64.0,125.8,6.4
G_4708,2.3,88.6,1.8
G_2679,50.2,138.5,6.2
G_4293,7.3,66.5,2.4
G_5080,6.1,71.6,3.0
G_5488,5.1,100.0,3.3
G_2923,66.5,108.2,9.5
G_2536,72.3,144.2,5.2
G_4766,6.2,79.4,2.7
G_2265,51.0,85.7,8.1
G_654,1.3,245.8,2.3
G_430,1.0,211.6,1.8
G_3751,60.3,120.3,8.0
G_3316,83.1,99.3,5.7
G_2518,62.2,155.8,8.9
G_4012,6.6,94.2,3.1
G_3163,68.2,143.4,4.1
G_3606,49.0,160.5,5.4
G_839,4.5,275.5,2.7
G_1088,3.4,250.5,2.3
G_1729,3.6,190.0,2.1
G_5808,3.2,68.9,1.7
G_1320,2.7,278.0,2.3
G_1331,5.3,242.8,1.7
G_4155,6.4,80.8,3.5
G_857,1.8,202.1,2.4
G_1420,3.8,206.7,1.4
G_2516,49.4,134.6,8.4
G_2300,51.2,150.7,7.7
G_3537,53.5,114.0,9.3
G_1609,3.5,186.3,2.4
G_5199,6.6,91.9,3.1
G_694,3.9,216.6,2.3
G_4141,2.7,73.5,1.6
G_2667,41.2,110.4,8.3
G_189,1.7,209.3,1.8
G_288,3.9,213.7,2.1
G_3411,75.8,129.3,6.0
G_5537,3.2,86.2,3.2
G_4206,6.5,72.2,2.0
G_3967,75.5,120.3,7.1
G_3772,56.9,135.7,8.1
G_3216,68.5,154.0,8.7
G_2334,55.7,144.2,6.8
G_5982,3.9,70.8,3.5
G_4095,6.3,74.0,3.1
G_2145,68.9,151.7,7.3
G_2981,40.3,123.9,4.0
G_211,3.9,188.7,1.9
G_5608,7.3,83.6,2.7
G_4997,4.8,87.4,3.3
G_3107,31.0,145.2,7.8
G_074,5.3,224.9,1.9
G_5766,2.7,79.3,1.9
G_2829,57.4,140.3,6.2
G_4783,5.8,74.6,3.6
G_5945,3.3,80.5,3.7
G_4247,5.5,90.2,3.8
G_2822,87.5,156.9,6.9
G_3306,30.0,148.7,6.2
G_5595,5.1,76.8,1.0
G_2146,56.7,129.5,8.7
G_1232,1.0,169.4,2.3
G_5353,6.8,69.8,2.8
G_3341,51.0,111.3,6.9
G_5867,6.4,77.1,1.3
G_4392,9.4,87.0,2.8
G_114,6.7,194.9,1.2
G_5087,7.4,52.7,2.5
G_4260,6.4,76.3,2.5
G_5442,4.9,71.1,1.5
G_3196,64.5,99.4,8.3
G_2457,42.3,150.1,6.2
G_2949,54.5,136.7,5.9
G_1840,2.7,212.2,1.7
G_1963,3.8,221.2,2.0
G_1893,2.3,200.0,1.3
G_1826,3.7,249.3,1.2
G_4340,5.9,87.0,1.8
G_4447,3.4,74.5,2.9
G_3459,50.7,150.9,5.9
G_3536,43.9,120.6,9.1
G_253,6.2,183.7,2.1
G_351,3.5,246.5,1.0
G_2759,91.0,133.3,7.6
G_4553,6.0,91.5,1.3
G_458,1.4,226.0,1.3
G_5845,8.6,85.2,1.0
G_480,4.7,237.3,2.5
G_1115,3.2,229.7,1.9
G_799,3.0,211.0,1.0
G_4222,4.7,84.2,2.4
G_2674,61.9,153.9,5.6
G_3096,34.3,133.1,7.9
G_027,1.3,265.0,1.6
G_3076,78.8,160.9,7.3
G_2751,73.4,147.6,7.5
G_3271,34.2,159.9,9.8
G_1748,3.8,224.5,2.1
G_1288,3.8,214.7,2.7
G_1282,2.8,220.8,2.3
G_4935,7.3,86.0,2.2
G_2620,56.6,161.7,4.2
G_2064,95.8,149.9,9.7
G_2192,43.9,121.8,6.6
G_4650,7.8,74.7,2.7
G_5155,1.6,64.1,3.3
G_4718,2.1,72.1,3.0
G_1952,4.9,199.1,2.0
G_4579,2.5,81.8,3.7
G_2918,98.4,119.8,6.2
G_4936,2.4,69.9,1.6
G_608,1.1,164.9,2.2
G_4094,4.4,71.0,3.8
G_4804,5.2,75.4,2.0
G_3405,48.4,142.5,7.6
G_5857,3.0,69.3,1.0
G_3942,64.3,166.0,8.2
G_4853,3.4,82.4,2.6
G_5894,4.8,62.1,3.0
G_4507,5.0,76.7,2.9
G_204,4.6,187.7,1.5
G_340,2.2,203.5,1.8
G_838,1.5,260.6,1.6
G_4360,5.3,65.7,3.3
G_388,5.8,196.9,1.3
G_4153,7.4,86.7,2.1
G_4823,5.4,83.3,1.0
G_2577,50.9,130.3,6.7
G_3784,99.1,136.5,6.3
G_3024,60.5,147.6,8.4
G_3427,55.1,110.4,4.0
G_3384,48.1,109.9,4.9
G_4666,3.7,83.0,3.0
G_2234,30.0,118.4,5.3
G_1651,3.9,230.2,1.9
G_3248,60.2,110.2,6.9
G_4907,4.9,80.1,2.7
G_678,5.6,180.9,2.6
G_3862,62.2,139.5,5.5
G_1540,1.0,216.0,2.5
G_1917,1.8,217.8,2.4
G_062,2.7,216.6,2.1
G_3660,47.4,132.7,6.3
G_4138,5.1,66.3,2.4
G_4358,5.1,78.0,1.9
G_1481,4.1,212.4,3.0
G_791,3.6,234.9,1.9
G_1671,2.6,245.7,3.2
G_3209,40.9,134.9,7.7
G_5435,2.5,63.0,1.7
G_3117,86.3,162.3,7.7
G_4948,3.1,71.7,2.2
G_4236,3.9,82.3,1.3
G_5342,3.6,68.1,3.9
G_3750,80.9,153.0,4.5
G_4400,4.0,77.5,3.1
G_2597,52.4,121.3,7.7
G_4005,5.0,99.8,2.8
G_2094,46.9,120.2,5.5
G_734,1.0,198.0,2.2
G_3691,66.1,139.7,6.1
G_4550,7.3,70.2,3.3
G_3957,59.4,137.8,9.1
G_5090,8.9,53.4,1.0
G_1841,2.8,204.6,2.2
G_2852,48.7,114.9,8.0
G_528,3.1,235.2,2.4
G_3304,65.1,94.6,4.0
G_5660,5.4,67.6,3.3
G_2510,81.4,141.9,5.3
G_2229,72.4,125.1,6.2
G_2095,61.1,130.8,6.8
G_4336,2.4,85.9,1.0
G_804,2.3,194.9,1.6
G_858,3.7,214.2,2.5
G_3471,74.2,138.2,8.9
G_2419,67.4,119.0,8.3
G_2755,30.9,116.9,6.1
G_4680,5.4,64.5,2.5
G_1644,3.7,219.1,2.7
G_220,3.1,213.8,1.1
G_5175,6.3,97.0,1.9
G_1289,1.3,204.3,1.7
G_1116,3.5,226.3,2.3
G_583,3.9,218.7,2.0
G_3162,59.1,128.0,5.5
G_044,2.5,223.8,2.1
G_5772,1.0,72.8,2.5
G_2452,74.6,139.1,5.8
G_5950,6.1,93.6,2.7
G_1521,4.8,232.6,1.6
G_3129,62.9,141.4,5.9
G_2132,51.8,141.7,5.4
G_1745,1.6,195.1,1.1
G_5790,4.4,63.5,1.2
G_1225,2.7,227.1,3.5
G_2800,78.5,153.8,8.8
G_1072,3.7,262.6,1.9
G_719,2.5,205.2,2.4
G_4357,4.0,75.4,1.8
G_1962,3.4,267.3,3.1
G_671,4.9,202.6,2.3
G_3894,44.8,125.7,6.6
G_3103,61.5,144.7,5.6
G_2046,53.8,145.8,7.2
G_4798,3.7,75.0,2.1
G_5954,8.7,86.8,2.9
G_898,3.2,263.1,1.4
G_1259,1.9,249.7,1.2
G_2856,85.4,116.7,5.8
G_096,1.0,218.1,1.5
G_3022,35.6,162.2,4.6
G_3277,44.2,121.5,9.8
G_843,1.3,256.9,2.3
G_4035,7.6,69.8,2.0
G_2706,42.6,143.3,5.9
G_4976,6.6,71.7,2.9
G_2619,38.4,143.9,8.9
G_3419,59.7,132.2,6.5
G_4632,4.8,63.1,2.7
G_5152,5.5,74.0,3.8
G_323,1.8,231.4,2.6
G_4356,6.1,93.6,2.5
G_2133,88.0,135.6,5.7
G_3728,35.8,102.5,9.0
G_335,4.5,242.3,2.2
G_2645,45.3,135.0,5.8
G_333,3.1,182.1,2.4
G_834,1.8,213.2,2.3
G_2535,49.7,155.3,4.6
G_2168,57.7,144.5,7.2
G_2252,54.6,108.9,8.5
G_1887,1.8,165.1,1.6
G_2167,77.0,164.9,9.3
G_732,1.5,262.1,2.0
G_1696,5.9,212.1,2.3
G_292,2.3,244.5,1.8
G_185,2.7,164.7,1.8
G_4727,6.6,78.7,2.2
G_4764,5.2,70.1,2.2
G_3212,54.3,111.5,6.9
G_534,1.2,197.0,1.6
G_2836,42.4,129.6,6.6
G_2716,66.9,141.3,4.7
G_3899,39.9,162.3,4.4
G_3169,76.3,135.5,6.8
G_658,3.0,242.3,1.5
G_1256,1.2,223.7,1.4
G_2723,65.0,135.6,7.0
G_2733,62.2,135.9,6.2
G_2482,30.0,129.4,6.6
G_5088,4.0,82.3,1.0
G_899,4.8,212.8,2.3
G_429,4.6,248.1,2.1
G_5449,5.3,84.4,2.4
G_1993,4.8,170.6,1.5
G_2005,56.8,155.6,8.8
G_1437,2.6,234.3,2.0
G_5430,4.9,86.9,3.2
G_1223,4.0,254.3,1.9
G_2888,87.1,127.4,5.7
G_2338,53.3,102.9,9.4
G_3516,67.0,103.1,9.3
G_4520,4.8,84.4,4.0
G_5911,3.3,65.3,1.1
G_4714,6.7,88.9,1.9
G_2848,67.1,132.4,8.9
G_4337,4.4,73.5,2.7
G_3387,55.3,114.1,8.3
G_1722,2.6,262.6,2.9
G_2405,67.8,157.0,6.4
G_1819,2.7,210.1,1.4
G_5419,5.3,71.9,1.0
G_2677,60.5,134.1,8.7
G_4956,3.0,77.8,3.0
G_3613,47.9,120.0,7.7
G_3729,65.6,120.7,6.2
G_2906,64.3,114.7,4.4
G_1411,5.0,203.1,1.7
G_4343,3.5,79.9,2.1
G_4003,4.3,97.4,1.8
G_5714,3.8,68.4,1.7
G_2165,83.7,94.6,4.0
G_1832,3.3,206.8,1.9
G_1127,3.5,172.3,1.9
G_4372,4.6,67.3,2.6
G_5638,2.0,71.2,1.8
G_5923,5.0,88.8,3.3
G_3781,54.2,120.8,6.9
G_305,3.0,269.9,1.3
G_1898,5.4,237.8,2.5
G_1293,3.0,251.9,1.3
G_071,3.5,244.1,2.3
G_4145,4.3,61.8,3.6
G_1306,1.7,246.5,2.5
G_2781,78.0,115.3,5.1
G_5252,5.2,78.3,2.4
G_4225,3.8,63.6,3.0
G_1666,3.0,188.6,1.3
G_1341,3.2,237.7,1.5
G_832,1.6,196.9,1.4
G_2572,40.2,138.2,6.2
G_1457,4.1,247.2,1.7
G_3208,82.3,93.1,6.1
G_3247,58.2,137.7,7.3
G_239,2.0,209.8,2.7
G_093,1.9,235.6,1.9
G_5710,6.3,61.4,3.0
G_2945,33.1,110.2,8.4
G_2520,65.1,152.6,10.2
G_2772,60.5,161.4,9.4
G_2604,66.3,138.4,5.2
G_5307,4.0,75.7,2.0
G_3440,69.5,127.9,7.0
G_1002,4.4,198.5,1.8
G_2043,93.0,101.2,6.6
G_5179,3.8,71.0,3.5
G_3429,63.0,90.4,6.9
G_2616,60.0,110.4,7.4
G_1505,2.7,207.5,1.8
G_958,3.7,214.1,2.5
G_3802,49.8,140.1,7.1
G_5313,6.3,89.6,3.1
G_4762,7.7,79.3,3.7
G_1533,3.5,217.4,2.7
G_2303,74.4,115.6,9.8
G_412,1.3,258.4,2.0
G_1406,1.9,156.7,2.0
G_3348,40.7,145.0,9.0
G_5759,6.4,70.6,1.3
G_1789,3.5,224.5,1.1
G_2882,59.3,122.6,5.9
G_3051,74.5,138.4,9.2
G_2088,36.8,124.7,4.9
G_1035,2.3,221.5,2.4
G_5264,5.3,65.8,3.1
G_5886,2.3,79.6,2.7
G_5221,7.1,76.8,3.5
G_932,5.8,208.6,1.0
G_5472,1.0,65.0,2.7
G_3329,39.4,134.5,5.8
G_634,2.4,227.8,2.4
G_1742,2.7,233.0,1.5
G_499,1.7,239.8,1.0
G_938,4.1,214.3,2.6
G_416,1.9,226.8,2.3
G_2329,80.9,131.1,7.8
G_3280,71.5,123.9,5.5
G_3587,44.4,138.2,6.1
G_4368,6.2,71.6,1.8
G_4913,8.5,100.0,1.4
G_758,3.3,201.0,2.6
G_1617,3.4,195.4,1.9
G_1042,2.3,223.9,1.2
G_3632,47.2,128.1,6.5
G_4654,5.8,60.9,1.3
G_4465,5.5,93.2,1.9
G_2463,57.5,139.2,6.0
G_597,2.6,204.8,1.9
G_4044,6.6,67.2,2.3
G_2764,85.0,141.6,9.4
G_1069,2.3,225.6,2.0
G_2196,57.8,150.0,7.8
G_3040,48.3,129.9,5.9
G_5605,6.8,67.6,1.0
G_3228,59.2,117.5,9.3
G_653,2.6,232.8,2.0
G_4625,0.3,56.4,3.2
G_5332,3.5,66.9,2.0
G_5168,1.6,70.0,1.6
G_2717,75.7,142.9,7.1
G_4854,4.1,69.3,1.8
G_5902,4.5,76.4,2.2
G_2700,47.6,106.4,4.0
G_4546,3.5,59.6,3.8
G_076,4.2,212.1,2.1
G_3667,44.6,127.7,8.3
G_5925,9.3,86.8,1.5
G_2930,43.9,132.5,6.7
G_5529,8.6,66.1,2.8
G_5956,5.5,81.3,2.8
G_3804,62.9,109.7,6.3
G_5026,7.1,62.5,2.7
G_5283,5.2,81.7,3.0
G_2485,70.5,169.7,7.9
G_4792,8.5,73.5,2.4
G_1011,5.0,217.7,2.8
G_1030,1.5,220.9,2.0
G_2843,88.1,128.6,5.8
G_829,2.4,243.8,2.5
G_2707,53.8,134.1,7.0
G_1877,2.2,243.8,1.2
G_097,3.4,236.8,2.3
G_3379,68.6,122.0,7.9
G_4598,6.5,83.6,1.5
G_4596,3.4,57.0,2.0
G_4842,2.7,77.2,3.3
G_1201,3.2,224.6,1.8
G_622,3.7,239.7,2.9
G_5454,5.2,83.3,1.8
G_1413,3.7,269.8,1.6
G_567,1.0,195.1,2.4
G_544,5.2,212.3,1.7
G_1335,3.2,255.0,1.6
G_4300,6.3,99.1,3.1
G_052,2.4,198.3,2.1
G_5047,7.4,70.0,2.9
G_2068,76.5,148.5,7.7
G_3873,103.0,123.6,7.6
G_1559,5.2,217.2,2.0
G_746,1.9,212.6,1.9
G_4526,6.3,88.3,1.3
G_4672,5.3,68.3,1.9
G_1468,3.6,223.3,2.1
G_4463,3.1,76.4,2.9
G_196,3.6,203.5,1.8
G_3401,50.5,144.3,6.8
G_4268,6.3,83.6,3.4
G_3780,45.9,137.4,5.7
G_803,3.1,228.7,1.3
G_1619,2.4,249.9,2.2
G_5187,3.3,87.0,2.5
